Player,Nation,Pos,Squad,Comp,Age,Born,GCA,GCA90,Won,Lost,npxG+xAG,Att,Succ,SoT,FK,Sh,Gls,Ast,PrgC,PrgP,PrgR,G+A,SCA,SCA90,90s,TklW,Blocks,Int,Clr,Prgc,G+A,Tkl%,Crs,Att,Succ,Won
Kandet Diawara,gn GUI,FW,Le Havre,fr Ligue 1,24-353,2000,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Keinan Davis,eng ENG,FW,Udinese,it Serie A,26-350,1998,2,0.26,21,18,3.5,22,11,5,0,14,2,2,,,,,,,,,,,,,,,,,,
Keito Nakamura,jp JPN,FW,Reims,fr Ligue 1,24-184,2000,5,0.3,5,9,6.7,39,14,18,0,46,8,0,,,,,,,,,,,,,,,,,,
Kelechi Iheanacho,ng NGA,FW,Sevilla,es La Liga,28-117,1996,0,0,2,8,1.8,4,2,2,0,9,0,1,,,,,,,,,,,,,,,,,,
Kevin Behrens,de GER,FW,Wolfsburg,de Bundesliga,33-360,1991,0,0,9,8,1.3,1,0,2,0,6,1,0,,,,,,,,,,,,,,,,,,
Kevin Schade,de GER,FW,Brentford,eng Premier League,23-062,2001,6,0.5,49,36,6.1,37,10,13,0,27,6,2,,,,,,,,,,,,,,,,,,
Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18-298,2006,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Khvicha Kvaratskhelia,ge GEO,FW,Paris S-G,fr Ligue 1,23-351,2001,1,1.1,0,2,0.2,7,2,1,0,2,0,1,,,,,,,,,,,,,,,,,,
Kiké,es ESP,FW,Alavés,es La Liga,35-064,1989,4,0.28,62,50,4.4,20,8,13,0,30,9,0,,,,,,,,,,,,,,,,,,
Kingsley Coman,fr FRA,FW,Bayern Munich,de Bundesliga,28-229,1996,4,0.45,6,7,5.5,53,28,13,0,30,3,1,,,,,,,,,,,,,,,,,,
Koka,eg EGY,FW,Le Havre,fr Ligue 1,31-329,1993,0,0,1,3,0.4,1,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,
Kylian Mbappé,fr FRA,FW,Real Madrid,es La Liga,26-039,1998,8,0.44,1,2,13.6,106,44,39,1,80,15,2,,,,,,,,,,,,,,,,,,
Lamine Yamal,es ESP,FW,Barcelona,es La Liga,17-199,2007,19,1.19,0,1,12.7,138,62,0,0,0,0,1,,,,,,,,,,,,,,,,,,
Lautaro Martínez,ar ARG,FW,Inter,it Serie A,27-159,1997,8,0.47,17,22,9.6,26,8,25,0,59,9,3,,,,,,,,,,,,,,,,,,
Leandro Antonetti,pr PUR,FW,Sevilla,es La Liga,22-015,2003,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
Leandro Trossard,be BEL,FW,Arsenal,eng Premier League,30-055,1994,5,0.33,3,13,7.7,49,20,11,0,36,4,0,,,,,,,,,,,,,,,,,,
Leroy Sané,de GER,FW,Bayern Munich,de Bundesliga,29-017,1996,5,0.54,1,3,6,53,21,11,1,33,5,5,,,,,,,,,,,,,,,,,,
Liam Delap,eng ENG,FW,Ipswich Town,eng Premier League,21-355,2003,5,0.27,33,41,6.4,53,24,17,0,35,8,0,,,,,,,,,,,,,,,,,,
Lois Diony,fr FRA,FW,Angers,fr Ligue 1,32-039,1992,0,0,1,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,
Lorenzo Anghelè,it ITA,FW,Juventus,it Serie A,19-337,2005,0,0,0,2,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Lorenzo Lucca,it ITA,FW,Udinese,it Serie A,24-140,2000,1,0.06,38,40,3.8,14,8,13,0,32,8,0,,,,,,,,,,,,,,,,,,
Lorenzo Venturino,it ITA,FW,Genoa,it Serie A,18-220,2006,0,0,0,0,0.1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Lucas Ocampos,ar ARG,FW,Sevilla,es La Liga,30-201,1994,2,1.03,3,4,0.5,8,2,2,0,4,0,1,,,,,,,,,,,,,,,,,,
Lucas Stassin,be BEL,FW,Saint-Étienne,fr Ligue 1,20-061,2004,7,0.71,10,15,5,17,6,5,0,17,3,0,,,,,,,,,,,,,,,,,,
Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,30-338,1994,3,0.21,73,67,5.4,11,5,12,0,20,7,0,,,,,,,,,,,,,,,,,,
Luis Díaz,co COL,FW,Liverpool,eng Premier League,28-015,1997,10,0.67,7,20,8.2,69,28,19,0,44,8,1,,,,,,,,,,,,,,,,,,
Luis Rioja,es ESP,FW,Alavés,es La Liga,31-104,1993,0,0,0,0,0.1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
Luka Jović,rs SRB,FW,Milan,it Serie A,27-036,1997,0,0,2,3,0.4,1,1,0,0,2,0,2,,,,,,,,,,,,,,,,,,
Lukas Nmecha,de GER,FW,Wolfsburg,de Bundesliga,26-045,1998,1,0.42,8,4,2.7,1,1,4,0,8,2,0,,,,,,,,,,,,,,,,,,
Mama Samba Baldé,gw GNB,FW,Lyon,fr Ligue 1,29-083,1995,0,0,1,0,0.1,3,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,
Mama Samba Baldé,gw GNB,FW,Brest,fr Ligue 1,29-083,1995,2,0.22,24,36,3.3,34,12,7,0,20,2,0,,,,,,,,,,,,,,,,,,
Marc Domenech,es ESP,FW,Mallorca,es La Liga,19-027,2006,0,0,5,4,0.2,1,1,1,0,3,0,0,,,,,,,,,,,,,,,,,,
Marc Guiu,es ESP,FW,Chelsea,eng Premier League,19-024,2006,0,0,0,0,0,1,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,
Marcos André,br BRA,FW,Valladolid,es La Liga,28-100,1996,1,0.12,36,32,2.3,22,13,1,0,13,1,0,,,,,,,,,,,,,,,,,,
Marcus Thuram,fr FRA,FW,Inter,it Serie A,27-175,1997,14,0.79,33,20,10.6,36,14,25,0,47,13,2,,,,,,,,,,,,,,,,,,
Marius Bülter,de GER,FW,Hoffenheim,de Bundesliga,31-305,1993,5,0.55,9,14,4.5,22,11,7,0,15,4,1,,,,,,,,,,,,,,,,,,
Marko Arnautović,at AUT,FW,Inter,it Serie A,35-284,1989,1,0.91,1,0,1.3,1,0,0,0,2,0,1,,,,,,,,,,,,,,,,,,
Martial Godo,eng ENG,FW,Fulham,eng Premier League,21-320,2003,0,0,0,1,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,30-327,1994,9,0.52,15,22,11.8,13,4,19,6,49,6,1,,,,,,,,,,,,,,,,,,
Mateo Mejía,es ESP,FW,Sevilla,es La Liga,21-303,2003,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Mateo Retegui,it ITA,FW,Atalanta,it Serie A,25-274,1999,8,0.63,27,34,9.1,16,4,21,1,53,16,2,,,,,,,,,,,,,,,,,,
Mathias Løvik,no NOR,FW,Parma,it Serie A,21-053,2003,0,0,1,1,0.2,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,
Matias Fernandez-Pardo,be BEL,FW,Lille,fr Ligue 1,19-360,2005,3,0.62,0,6,1.3,28,12,2,0,4,1,0,,,,,,,,,,,,,,,,,,
Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21-306,2003,3,0.18,26,36,6,51,20,17,0,47,5,0,,,,,,,,,,,,,,,,,,
Mattia Zaccagni,it ITA,FW,Lazio,it Serie A,29-226,1995,6,0.36,10,12,4.2,57,28,1,0,1,0,2,,,,,,,,,,,,,,,,,,
Maurides,br BRA,FW,St. Pauli,de Bundesliga,30-324,1994,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,
Max Moerstedt,de GER,FW,Hoffenheim,de Bundesliga,,,0,0,14,11,1,3,1,4,0,10,0,0,,,,,,,,,,,,,,,,,,
Maxwel Cornet,ci CIV,FW,Southampton,eng Premier League,28-123,1996,0,0,3,0,0.2,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
Maxwel Cornet,ci CIV,FW,Genoa,it Serie A,28-123,1996,1,2.5,0,2,0.2,2,1,0,0,0,0,4,,,,,,,,,,,,,,,,,,
M'Bala Nzola,ao ANG,FW,Lens,fr Ligue 1,28-163,1996,3,0.26,27,24,7.7,28,10,14,0,34,5,0,,,,,,,,,,,,,,,,,,
Mehdi Taremi,ir IRN,FW,Inter,it Serie A,32-194,1992,2,0.42,9,12,2.3,8,4,2,0,8,1,0,,,,,,,,,,,,,,,,,,
Michael Gregoritsch,at AUT,FW,Freiburg,de Bundesliga,30-285,1994,5,1.09,21,24,1.4,6,3,4,2,11,1,0,,,,,,,,,,,,,,,,,,
Michail Antonio,jm JAM,FW,West Ham,eng Premier League,34-306,1990,4,0.43,17,22,3.8,27,9,4,0,19,1,0,,,,,,,,,,,,,,,,,,
Miguel,es ESP,FW,Leganés,es La Liga,25-147,1999,6,0.4,25,80,3.8,31,8,12,0,24,1,1,,,,,,,,,,,,,,,,,,
Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,30-353,1994,0,0,0,2,0.8,2,1,2,0,6,0,1,,,,,,,,,,,,,,,,,,
Mika Biereth,dk DEN,FW,Monaco,fr Ligue 1,21-355,2003,1,0.5,7,12,1.8,1,0,5,0,8,1,0,,,,,,,,,,,,,,,,,,
Mikel Oyarzabal,es ESP,FW,Real Sociedad,es La Liga,27-282,1997,3,0.21,18,41,5.1,5,2,7,0,23,4,1,,,,,,,,,,,,,,,,,,
Mikkel Kaufmann,dk DEN,FW,Heidenheim,de Bundesliga,24-025,2001,1,0.24,17,19,0.6,7,2,3,0,3,0,5,,,,,,,,,,,,,,,,,,
Milan Đurić,ba BIH,FW,Monza,it Serie A,34-251,1990,1,0.07,132,50,4,6,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Milan Đurić,ba BIH,FW,Parma,it Serie A,34-251,1990,0,0,4,5,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,
Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,24-264,2000,10,0.65,11,27,6.8,55,22,17,0,47,8,0,,,,,,,,,,,,,,,,,,
Mohamed Lamine Bayo,gn GUI,FW,Lille,fr Ligue 1,26-238,1998,2,0.58,4,4,2.7,4,2,4,0,10,2,1,,,,,,,,,,,,,,,,,,
Mohamed Salah,eg EGY,FW,Liverpool,eng Premier League,32-227,1992,16,0.74,4,6,22.5,77,37,36,1,81,19,2,,,,,,,,,,,,,,,,,,
Mohammed Daramy,dk DEN,FW,Reims,fr Ligue 1,23-021,2002,1,5.63,1,2,0.1,0,0,0,0,1,0,7,,,,,,,,,,,,,,,,,,
Moise Kean,it ITA,FW,Fiorentina,it Serie A,24-335,2000,3,0.16,32,35,11.8,64,30,25,0,64,12,0,,,,,,,,,,,,,,,,,,
Mostafa Mohamed,eg EGY,FW,Nantes,fr Ligue 1,27-061,1997,1,0.17,22,16,2.7,11,3,9,0,20,2,0,,,,,,,,,,,,,,,,,,
Mykhailo Mudryk,ua UKR,FW,Chelsea,eng Premier League,24-023,2001,0,0,2,4,1.2,8,3,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Myron Boadu,nl NED,FW,Bochum,de Bundesliga,24-014,2001,1,0.17,5,8,4,3,3,7,0,15,5,0,,,,,,,,,,,,,,,,,,
Naatan Skyttä,fi FIN,FW,Toulouse,fr Ligue 1,22-266,2002,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Naouirou Ahamada,fr FRA,FW,Rennes,fr Ligue 1,22-305,2002,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Nathan N'Goumou,fr FRA,FW,Gladbach,de Bundesliga,24-320,2000,0,0,2,5,1,10,3,6,0,13,0,2,,,,,,,,,,,,,,,,,,
Neal Maupay,fr FRA,FW,Marseille,fr Ligue 1,28-167,1996,4,0.43,4,12,5.5,11,4,7,0,15,3,3,,,,,,,,,,,,,,,,,,
Niama Sissoko,ml MLI,FW,Reims,fr Ligue 1,19-043,2005,0,0,1,2,0.2,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,
Niclas Füllkrug,de GER,FW,West Ham,eng Premier League,31-354,1993,1,0.24,20,24,2.4,3,0,3,0,8,2,4,,,,,,,,,,,,,,,,,,
Nico Williams,es ESP,FW,Athletic Club,es La Liga,22-200,2002,9,0.57,7,9,5.5,121,43,23,0,47,11,0,,,,,,,,,,,,,,,,,,
Nicolas Jackson,sn SEN,FW,Chelsea,eng Premier League,23-222,2001,10,0.53,12,25,15.2,50,17,30,0,61,9,0,,,,,,,,,,,,,,,,,,
Nicolás Serrano,es ESP,FW,Athletic Club,es La Liga,21-329,2003,0,0,0,2,0.2,9,3,1,0,5,0,0,,,,,,,,,,,,,,,,,,
Nicolò Cambiaghi,it ITA,FW,Bologna,it Serie A,24-031,2000,0,0,0,0,0.1,0,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,
Nikola Krstović,me MNE,FW,Lecce,it Serie A,24-298,2000,3,0.15,52,73,7.9,44,13,26,4,86,6,2,,,,,,,,,,,,,,,,,,
Noah Okafor,ch SUI,FW,Milan,it Serie A,24-249,2000,2,0.43,2,5,1.9,25,12,7,0,13,1,0,,,,,,,,,,,,,,,,,,
Noah Weißhaupt,de GER,FW,Freiburg,de Bundesliga,23-130,2001,0,0,0,0,0,4,1,13,7,38,6,0,,,,,,,,,,,,,,,,,,
Noni Madueke,eng ENG,FW,Chelsea,eng Premier League,22-324,2002,8,0.52,8,11,10.6,64,26,25,0,63,7,0,,,,,,,,,,,,,,,,,,
Odsonne Édouard,fr FRA,FW,Leicester City,eng Premier League,27-012,1998,0,0,1,1,0,2,1,0,0,0,0,4,,,,,,,,,,,,,,,,,,
Oliver McBurnie,sct SCO,FW,Las Palmas,es La Liga,28-238,1996,3,0.36,37,33,2.6,15,8,4,0,11,0,1,,,,,,,,,,,,,,,,,,
Ollie Watkins,eng ENG,FW,Aston Villa,eng Premier League,29-029,1995,8,0.45,31,34,12.5,31,6,7,0,12,5,3,,,,,,,,,,,,,,,,,,
Omar Marmoush,eg EGY,FW,Manchester City,eng Premier League,25-356,1999,0,0,0,0,0.3,2,0,0,1,2,0,2,,,,,,,,,,,,,,,,,,
Omar Marmoush,eg EGY,FW,Eint Frankfurt,de Bundesliga,25-356,1999,21,1.31,7,14,13.5,101,46,34,6,75,15,2,,,,,,,,,,,,,,,,,,
Orri Steinn Óskarsson,is ISL,FW,Real Sociedad,es La Liga,20-152,2004,0,0,13,27,3.6,2,0,5,0,13,2,1,,,,,,,,,,,,,,,,,,
Oumar Diakité,ci CIV,FW,Reims,fr Ligue 1,21-039,2003,4,0.28,22,42,5.4,50,18,6,0,22,4,0,,,,,,,,,,,,,,,,,,
Ousmane Dembélé,fr FRA,FW,Paris S-G,fr Ligue 1,27-258,1997,9,0.77,3,2,12.4,66,29,28,0,53,11,1,,,,,,,,,,,,,,,,,,
Pablo Garcia,es ESP,FW,Betis,es La Liga,18-166,2006,0,0,0,0,0,2,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
Patrick Cutrone,it ITA,FW,Como,it Serie A,27-025,1998,3,0.18,18,51,6.1,18,8,20,0,49,6,2,,,,,,,,,,,,,,,,,,
Patrik Schick,cz CZE,FW,Leverkusen,de Bundesliga,29-004,1996,0,0,24,22,8.5,15,6,20,0,38,13,0,,,,,,,,,,,,,,,,,,
Pau Victor Delgado,es ESP,FW,Barcelona,es La Liga,23-063,2001,2,0.84,2,1,2.7,11,7,4,0,8,2,2,,,,,,,,,,,,,,,,,,
Paul Onuachu,ng NGA,FW,Southampton,eng Premier League,30-245,1994,0,0,44,21,1.5,17,7,6,0,16,1,4,,,,,,,,,,,,,,,,,,
Pedro Neto,pt POR,FW,Chelsea,eng Premier League,24-325,2000,5,0.41,6,16,3.6,59,21,6,0,23,1,2,,,,,,,,,,,,,,,,,,
Pejiño,es ESP,FW,Las Palmas,es La Liga,28-183,1996,0,0,0,0,0,0,0,0,0,1,0,3,,,,,,,,,,,,,,,,,,
Phil Harres,de GER,FW,Holstein Kiel,de Bundesliga,22-309,2002,4,0.39,31,37,4.7,15,5,14,0,27,7,0,,,,,,,,,,,,,,,,,,
Philipp Hofmann,de GER,FW,Bochum,de Bundesliga,31-304,1993,2,0.14,91,75,5.6,15,8,7,0,25,2,1,,,,,,,,,,,,,,,,,,
Phillip Tietz,de GER,FW,Augsburg,de Bundesliga,27-203,1997,3,0.25,44,54,3.6,22,10,8,1,27,5,1,,,,,,,,,,,,,,,,,,
Pietro Pellegri,it ITA,FW,Empoli,it Serie A,23-317,2001,2,0.44,3,20,0.9,14,5,4,0,8,3,0,,,,,,,,,,,,,,,,,,
Rafael Leão,pt POR,FW,Milan,it Serie A,25-232,1999,9,0.6,12,7,8.9,83,40,18,0,41,4,0,,,,,,,,,,,,,,,,,,
Randal Kolo Muani,fr FRA,FW,Juventus,it Serie A,26-054,1998,0,0,0,3,0.3,4,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,
Randal Kolo Muani,fr FRA,FW,Paris S-G,fr Ligue 1,26-054,1998,3,0.75,9,3,4.7,14,7,6,0,15,2,0,,,,,,,,,,,,,,,,,,
Randy Nteka,ao ANG,FW,Rayo Vallecano,es La Liga,27-053,1997,0,0,24,38,2.4,6,3,5,0,11,3,2,,,,,,,,,,,,,,,,,,
Rareș-Cătălin Burnete,ro ROU,FW,Lecce,it Serie A,20-363,2004,0,0,0,1,0.1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
Rasmus Højlund,dk DEN,FW,Manchester Utd,eng Premier League,21-359,2003,1,0.08,16,48,3.5,21,6,6,0,12,2,0,,,,,,,,,,,,,,,,,,
Raúl Jiménez,mx MEX,FW,Fulham,eng Premier League,33-268,1991,5,0.31,40,55,8.2,30,10,19,0,53,8,3,,,,,,,,,,,,,,,,,,
Reiss Nelson,eng ENG,FW,Arsenal,eng Premier League,25-049,1999,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
Reiss Nelson,eng ENG,FW,Fulham,eng Premier League,25-049,1999,1,0.18,0,4,2.1,35,13,6,0,12,1,2,,,,,,,,,,,,,,,,,,
Remy Rees-Dottin,eng ENG,FW,Bournemouth,eng Premier League,18-328,2006,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Riccardo Orsolini,it ITA,FW,Bologna,it Serie A,28-004,1997,4,0.34,17,10,6.4,45,20,13,3,38,7,0,,,,,,,,,,,,,,,,,,
Richarlison,br BRA,FW,Tottenham,eng Premier League,27-263,1997,1,0.45,3,7,1.9,7,1,3,0,5,2,0,,,,,,,,,,,,,,,,,,
Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,36-160,1988,1,0.06,17,22,18,22,15,30,3,65,17,4,,,,,,,,,,,,,,,,,,
Roberto Férnandez,es ESP,FW,Espanyol,es La Liga,22-209,2002,0,0,2,5,0.5,3,2,1,0,1,1,0,,,,,,,,,,,,,,,,,,
Roberto Piccoli,it ITA,FW,Cagliari,it Serie A,24-001,2001,2,0.1,64,78,7.2,33,5,15,1,57,5,4,,,,,,,,,,,,,,,,,,
Robin Hack,de GER,FW,Gladbach,de Bundesliga,26-154,1998,5,0.43,12,12,3.1,32,12,12,0,24,2,1,,,,,,,,,,,,,,,,,,
Robinio Vaz,fr FRA,FW,Marseille,fr Ligue 1,17-346,2007,2,2.4,2,2,0.5,1,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,
Rodri,es ESP,FW,Betis,es La Liga,24-257,2000,0,0,0,2,0.2,6,2,2,0,2,0,1,,,,,,,,,,,,,,,,,,
Rodrigo Muniz,br BRA,FW,Fulham,eng Premier League,23-269,2001,0,0,41,49,3.6,13,4,10,0,24,3,4,,,,,,,,,,,,,,,,,,
Rodrygo,br BRA,FW,Real Madrid,es La Liga,24-019,2001,9,0.68,5,8,4.8,62,27,14,2,32,6,1,,,,,,,,,,,,,,,,,,
Romain Del Castillo,fr FRA,FW,Brest,fr Ligue 1,28-305,1996,6,0.57,8,8,3.8,36,15,6,0,12,4,0,,,,,,,,,,,,,,,,,,
Romelu Lukaku,be BEL,FW,Napoli,it Serie A,31-260,1993,10,0.59,18,27,7.8,18,4,12,0,32,9,0,,,,,,,,,,,,,,,,,,
Samuel Essende,cd COD,FW,Augsburg,de Bundesliga,27-005,1998,3,0.27,33,45,3.8,34,9,10,0,26,5,0,,,,,,,,,,,,,,,,,,
Samuel Mbangula,be BEL,FW,Juventus,it Serie A,21-012,2004,4,0.58,1,7,1.4,24,6,4,0,7,3,0,,,,,,,,,,,,,,,,,,
Santiago Castro,ar ARG,FW,Bologna,it Serie A,20-121,2004,10,0.6,27,38,5.5,32,13,16,0,38,6,0,,,,,,,,,,,,,,,,,,
Santiago Pierotti,ar ARG,FW,Lecce,it Serie A,23-300,2001,1,0.09,26,35,3.1,29,10,3,0,18,2,0,,,,,,,,,,,,,,,,,,
Sébastien Haller,ci CIV,FW,Leganés,es La Liga,30-220,1994,0,0,26,17,0.6,3,1,1,0,4,0,7,,,,,,,,,,,,,,,,,,
Sergi Guardiola,es ESP,FW,Rayo Vallecano,es La Liga,33-244,1991,0,0,0,2,0.2,0,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,
Sergio Camello,es ESP,FW,Rayo Vallecano,es La Liga,23-353,2001,5,0.42,10,25,5.5,22,13,9,0,30,3,1,,,,,,,,,,,,,,,,,,
Serhou Guirassy,gn GUI,FW,Dortmund,de Bundesliga,28-322,1996,4,0.25,57,53,8.7,15,5,14,1,41,8,0,,,,,,,,,,,,,,,,,,
Sidiki Cherif,fr FRA,FW,Angers,fr Ligue 1,18-044,2006,0,0,3,15,0.6,11,2,2,0,4,0,0,,,,,,,,,,,,,,,,,,
Son Heung-min,kr KOR,FW,Tottenham,eng Premier League,32-204,1992,10,0.6,4,9,10.1,57,24,21,1,39,6,0,,,,,,,,,,,,,,,,,,
Stefan Schimmer,de GER,FW,Heidenheim,de Bundesliga,30-275,1994,0,0,2,13,1.3,1,0,1,0,9,0,0,,,,,,,,,,,,,,,,,,
Stephy Mavididi,eng ENG,FW,Leicester City,eng Premier League,26-242,1998,7,0.49,9,12,3.9,76,28,6,1,19,3,0,,,,,,,,,,,,,,,,,,
Steve Ngoura,fr FRA,FW,Le Havre,fr Ligue 1,19-341,2005,0,0,5,6,1.7,12,7,2,0,10,0,2,,,,,,,,,,,,,,,,,,
Tadeo Allende,ar ARG,FW,Celta Vigo,es La Liga,25-343,1999,0,0,0,0,0,1,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,27-169,1997,0,0,8,23,1.8,4,1,3,0,8,1,2,,,,,,,,,,,,,,,,,,
Tammy Abraham,eng ENG,FW,Roma,it Serie A,27-118,1997,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Tammy Abraham,eng ENG,FW,Milan,it Serie A,27-118,1997,4,0.48,16,19,5.6,8,2,9,0,19,2,0,,,,,,,,,,,,,,,,,,
Theo Bair,ca CAN,FW,Auxerre,fr Ligue 1,25-154,1999,0,0,28,20,2.2,2,0,6,0,11,1,0,,,,,,,,,,,,,,,,,,
Thiago,br BRA,FW,Brentford,eng Premier League,23-216,2001,0,0,4,3,0.2,3,2,0,0,1,0,13,,,,,,,,,,,,,,,,,,
Thiago Almada,ar ARG,FW,Lyon,fr Ligue 1,23-277,2001,0,0,0,0,0.1,0,0,0,0,1,0,9,,,,,,,,,,,,,,,,,,
Thierno Barry,fr FRA,FW,Villarreal,es La Liga,22-099,2002,3,0.2,62,32,10.3,26,6,15,0,48,7,5,,,,,,,,,,,,,,,,,,
Tim Kleindienst,de GER,FW,Gladbach,de Bundesliga,29-150,1995,11,0.62,74,71,11.7,24,8,25,0,53,11,0,,,,,,,,,,,,,,,,,,
Timothy Weah,us USA,FW,Juventus,it Serie A,24-341,2000,1,0.12,7,12,3.8,22,8,0,0,1,0,1,,,,,,,,,,,,,,,,,,
Toni Martínez,es ESP,FW,Alavés,es La Liga,27-212,1997,1,0.16,42,33,2.1,6,5,9,0,26,3,0,,,,,,,,,,,,,,,,,,
Tyrique George,eng ENG,FW,Chelsea,eng Premier League,18-359,2006,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,
Umar Sadiq,ng NGA,FW,Valencia,es La Liga,27-361,1997,0,0,2,3,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
Umar Sadiq,ng NGA,FW,Real Sociedad,es La Liga,27-361,1997,0,0,9,11,0.4,9,5,0,0,5,0,0,,,,,,,,,,,,,,,,,,
Valentín Castellanos,ar ARG,FW,Lazio,it Serie A,26-117,1998,8,0.45,52,49,10.1,25,12,24,3,72,7,2,,,,,,,,,,,,,,,,,,
Vedat Muriqi,xk KVX,FW,Mallorca,es La Liga,30-279,1994,4,0.32,81,50,5.4,14,4,10,0,29,3,0,,,,,,,,,,,,,,,,,,
Victor Boniface,ng NGA,FW,Leverkusen,de Bundesliga,24-036,2000,3,0.41,23,10,6.7,24,9,14,0,40,6,2,,,,,,,,,,,,,,,,,,
Victor Orakpo,ng NGA,FW,Nice,fr Ligue 1,18-228,2006,0,0,1,4,0.3,2,2,0,0,2,0,2,,,,,,,,,,,,,,,,,,
Vinicius Júnior,br BRA,FW,Real Madrid,es La Liga,24-200,2000,11,0.84,1,4,9.3,101,40,12,0,41,8,0,,,,,,,,,,,,,,,,,,
Vitinha,pt POR,FW,Genoa,it Serie A,24-319,2000,2,0.23,18,19,3.4,42,14,15,6,52,7,0,,,,,,,,,,,,,,,,,,
Vitor Roque,br BRA,FW,Betis,es La Liga,19-335,2005,4,0.31,13,23,7.1,34,9,17,0,39,4,0,,,,,,,,,,,,,,,,,,
Walid Cheddira,ma MAR,FW,Napoli,it Serie A,27-006,1998,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
Walid Cheddira,ma MAR,FW,Espanyol,es La Liga,27-006,1998,4,0.61,13,23,2.1,17,4,3,0,10,1,0,,,,,,,,,,,,,,,,,,
Wilfried Zaha,ci CIV,FW,Lyon,fr Ligue 1,32-079,1992,0,0,0,0,0.1,5,3,8,0,21,3,4,,,,,,,,,,,,,,,,,,
Will Alves,eng ENG,FW,Leicester City,eng Premier League,19-360,2005,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,
Wilson Odobert,fr FRA,FW,Tottenham,eng Premier League,20-061,2004,0,0,3,0,0.5,10,3,0,0,6,0,0,,,,,,,,,,,,,,,,,,
Yoane Wissa,cd COD,FW,Brentford,eng Premier League,28-147,1996,6,0.34,17,22,11.7,27,9,21,0,39,14,2,,,,,,,,,,,,,,,,,,
Zain Silcott-Duberry,ms MSR,FW,Bournemouth,eng Premier League,19-203,2005,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Zinedine Ferhat,dz ALG,FW,Angers,fr Ligue 1,31-333,1993,0,0,8,4,2.6,7,5,4,1,9,2,0,,,,,,,,,,,,,,,,,,
?lex Fern ndez,ma MAR,MF,C diz,es La Liga,19,2003,,,,,,,,,,,,,1,7,8,0,20,2.39,,,,,,,,,,,,
?liver Torres,eng ENG,MF,Sevilla,es La Liga,27,1996,,,,,,,,,,,,,19,67,81,0.29,0,0,,,,,,,,,,,,
?lkay Gndo?an,ml MLI,MF,Barcelona,es La Liga,29,1994,,,,,,,,,,,,,1,36,5,0,44,1.91,,,,,,,,,,,,
